num,term,definition,suggested_alternative
1,800-pound gorilla,Convey the idea with more style by saying a force to be reckoned with.,
2,Actionable,An actionable item is one you can take action on.,
3,Action item,What’s the difference between an action and an action item?,
4,Aha moment,A trendy way of saying you just discovered,
5,Around,Don’t have a discussion around an issue; have a discussion about an issue.,
6,ASAP,This means you’re in panic mode; you need it so fast you don’t even know when you need it!!,
7,At the end of the day,"Any time you write this phrase, your next step is to delete it.",
8,Awesome,"If you’re describing the Grand Canyon or the dimensions of the universe, awesome is fine.",
9,Baked in,"Instead of saying that a given possibility or fact is baked into something, say it is accounted for.",it is accounted for
10,Balls in the air,Sound less like a carnival act and more like a business professional by saying that you are,
11,Bandwidth,This is a euphemism to make we don’t have time sound like it’s part of the plan.,
12,Bells and whistles,These are fancy features added to a product or service to entice prospects.,
13,Best of breed,“Of breed” adds nothing to “best.” Just say you’re the best.,you’re the best
14,Best regards,How lucky am I to receive your best regards rather than only your regular regards!,
15,Big bang for the buck,A sleazy fast-talker’s way of saying this or that product or service has,
16,Bleeding edge,"With so many companies on the bleeding edge, it’s no wonder the economy",
17,Boil the ocean,To boil the ocean is to waste time.,
18,Brain dump,Brain dump is an overly casual way of saying we’ll teach you.,
19,Brain surgery,This isn’t brain surgery has been so overused it carries comical overtones the,
20,Brick and mortar,Physical locations are best described as such.,
21,Bring to the table,This is an overused way of saying a person contributes this or that specific,
22,Business case,Redundant.,case
23,Buy-in,Try support or agreement instead.,support or agreement
24,Champion (as a verb),"Replace with support, defend or perhaps spearhead.","support, defend or perhaps spearhead"
25,Change agent,A change agent is either a person who works at a toll both or a consultant with a mighty high,
26,Check the box,Replace with complete the task.,complete the task
27,"Circle back
A roundabout way of saying discuss later that belongs in the circular file",,
28,Circular file,Wastebasket.,
29,Compelling,Overused!,
30,Competitive advantage,"This phrase is a puffed up, boardroom-y way of saying your company excels at something.",
31,Content is king,A massively overused metaphor that broadcasts your ignorance.,
32,Contrarian,A contrarian is someone who thinks and acts contrary to public opinion.,
33,Core competencies,A fancy way of saying we’re good at this.,
34,Corporate culture,Small businesses overreach when they claim to have a culture.,
35,Cross-training,A sales trainee spending an hour watching an accounts receivable clerk file invoices is not,
36,Cutting edge,See bleeding edge.,
37,Deck,Some people know that a deck is a slide presentation.,
38,Deep dive,Overuse has sunk this way of describing a thorough analysis.,
39,Deliverable,Agency-speak for work product or output.,
40,Dialog (as a verb),Don’t dialog with someone; talk to him or her.,
41,Disambiguate,The word you’re looking for is clarify.,
42,Disconnect (as a noun),"This word is not only overused, it’s also vague.",
43,Disruptive,"If a product or business model is truly disruptive, you don’t need to describe it as such; it will",
44,Drill down,Replace with look more closely at.,look more closely at
45,Drink the Kool-Aid,"This phrase was gruesomely powerful in the ‘80s, when the Jonestown Massacre was fresh",
46,Drop dead date,This phrase is sometimes used as a bluff to get staffers or clients moving.,
47,Ducks in a row,A silly way of saying we’re,
48,Ecosystem,"Ecosystem can describe Microsoft Windows or Apple, where users have deep and broad",
49,Empower,Better options are assign responsibility or delegate responsibility.,assign responsibility or delegate responsibility
50,Epic (as an adjective),"Epic describes something of heroic, sweeping proportions.",
51,Evangelist,"A generous, one-sentence Yelp review does not an evangelist make.",
52,Evolve,"More precisely stated, a business plan or relationship develops, strengthens or grows in",
53,Execute,Fancy words won’t get you fancy fees.,
54,Fish or cut bait,Scale back this reel bad jargon and say make a decision.,make a decision
55,Frictionless,Overstatement.,
56,Functionality,"Instead of multi-user functionality, try supports multiple users.",supports multiple users
57,Game changer,"Whereas paradigm shift is too formal, game changer is too casual.",
58,Get on board,See buy-in.,
59,Give 110%,"At this rate, by 2020 we’ll have to give 250% to demonstrate our commitment.",
60,Going forward,"For the most part, this phrase can be eliminated: Going forward, we will hire 10 people.",
61,Good to go,A slangy way to say ready.,ready
62,Granular,"Instead of taking a granular look, look at the details.",
